Index,Link Text,URL,Status,Result
1,"About Us","https://learnqoch.com/school-erp-software/#",200,"PASS"
2,"K12","https://learnqoch.com/k-12/",200,"PASS"
3,"Higher Education","https://learnqoch.com/higher-educational-institutions-hei/",200,"PASS"
4,"Blogs","https://learnqoch.com/blogs/",200,"PASS"
5,"Support","https://learnqoch.com/support/",200,"PASS"
6,"Try for free","http://learnqoch.com/try-for-free/",200,"PASS"
7,"Outcome-Based Education vs. Competency-Based Learning: What’s the Difference?","https://learnqoch.com/obe-vs-cbl-difference/",200,"PASS"
8,"Try for Free","https://learnqoch.com/try-for-free",200,"PASS"
9,"Schedule a Demo","https://learnqoch.com/schedule-a-demo/",200,"PASS"
10,"Try for Free","https://learnqoch.com/try-for-free",200,"PASS"
11,"Download Brochure","https://learnqoch.com/download-brochure/",200,"PASS"
12,"Experience LearnQoch Software","https://learnqoch.com/schedule-a-demo/",200,"PASS"
13,"30 Days FREE Trial","https://learnqoch.com/try-for-free/",200,"PASS"
14,"Book a Demo For 14 Days","http://learnqoch.com/schedule-a-demo/",200,"PASS"
15,"K12","http://learnqoch.com/k-12/",200,"PASS"
16,"Higher Education","http://learnqoch.com/higher-educational-institutions-hei/",200,"PASS"
17,"Careers","http://learnqoch.com/careers/",200,"PASS"
18,"Channel Partner","http://learnqoch.com/channel-partner/",200,"PASS"
19,"Support","http://learnqoch.com/support/",200,"PASS"
20,"Privacy Policy","http://learnqoch.com/privacy_policy/",200,"PASS"
21,"Terms of Use","http://learnqoch.com/terms-and-condition/",200,"PASS"
22,"Facebook","https://www.facebook.com/learnqoch",400,"FAIL"
23,"Instagram","https://www.instagram.com/learnqoch/",200,"PASS"
24,"X-twitter","https://x.com/LearnQoch",200,"PASS"
25,"Youtube","https://www.youtube.com/channel/UCUm663gEGzcTrtZ2vBPAmqg",200,"PASS"
26,"Linkedin","https://www.linkedin.com/company/learnqoch/",200,"PASS"
