Index,Link Text,URL,Status,Result
1,"About Us","https://learnqoch.com/website-management/#",200,"PASS"
2,"K12","https://learnqoch.com/k-12/",200,"PASS"
3,"Higher Education","https://learnqoch.com/higher-educational-institutions-hei/",200,"PASS"
4,"Blogs","https://learnqoch.com/blogs/",200,"PASS"
5,"Support","https://learnqoch.com/support/",200,"PASS"
6,"Try for free","http://learnqoch.com/try-for-free/",200,"PASS"
7,"Outcome-Based Education vs. Competency-Based Learning: What’s the Difference?","https://learnqoch.com/obe-vs-cbl-difference/",200,"PASS"
8,"Schedule a Demo","https://learnqoch.com/schedule-a-demo/",200,"PASS"
9,"Get a Free Quote Now","https://learnqoch.com/try-for-free",200,"PASS"
10,"Get a Free Quote Now","https://learnqoch.com/try-for-free/",200,"PASS"
11,"Schedule a meet","https://learnqoch.com/schedule-a-demo/",200,"PASS"
12,"Get a Free Quote Now","https://learnqoch.com/try-for-free/",200,"PASS"
13,"Schedule a meet","https://learnqoch.com/schedule-a-demo/",200,"PASS"
14,"Get a Free Quote Now","https://learnqoch.com/try-for-free/",200,"PASS"
15,"Schedule a Meet","https://learnqoch.com/schedule-a-demo/",200,"PASS"
16,"Book a Demo For 14 Days","http://learnqoch.com/schedule-a-demo/",200,"PASS"
17,"K12","http://learnqoch.com/k-12/",200,"PASS"
18,"Higher Education","http://learnqoch.com/higher-educational-institutions-hei/",200,"PASS"
19,"Careers","http://learnqoch.com/careers/",200,"PASS"
20,"Channel Partner","http://learnqoch.com/channel-partner/",200,"PASS"
21,"Support","http://learnqoch.com/support/",200,"PASS"
22,"Privacy Policy","http://learnqoch.com/privacy_policy/",200,"PASS"
23,"Terms of Use","http://learnqoch.com/terms-and-condition/",200,"PASS"
24,"Facebook","https://www.facebook.com/learnqoch",400,"FAIL"
25,"Instagram","https://www.instagram.com/learnqoch/",200,"PASS"
26,"X-twitter","https://x.com/LearnQoch",200,"PASS"
27,"Youtube","https://www.youtube.com/channel/UCUm663gEGzcTrtZ2vBPAmqg",200,"PASS"
28,"Linkedin","https://www.linkedin.com/company/learnqoch/",200,"PASS"
